"date","Dólar","Salario_Minimo","Reservas_Internacionais","Selic","IPCA"
"1995-11-23",0.9647,100,51257,NA,1.47
"1995-11-24",0.9655,100,51257,NA,1.47
"1995-11-27",0.9649,100,51257,NA,1.47
"1995-11-28",0.9648,100,51257,NA,1.47
"1995-11-29",0.9647,100,51257,NA,1.47
"1995-11-30",0.9666,100,51257,NA,1.47
"1995-12-01",0.9666,100,51840,NA,1.56
"1995-12-04",0.9666,100,51840,NA,1.56
"1995-12-05",0.9667,100,51840,NA,1.56
"1995-12-06",0.9667,100,51840,NA,1.56
"1995-12-07",0.9666,100,51840,NA,1.56
"1995-12-08",0.9667,100,51840,NA,1.56
"1995-12-11",0.9667,100,51840,NA,1.56
"1995-12-12",0.9668,100,51840,NA,1.56
"1995-12-13",0.9671,100,51840,NA,1.56
"1995-12-14",0.9673,100,51840,NA,1.56
"1995-12-15",0.9677,100,51840,NA,1.56
"1995-12-18",0.9681,100,51840,NA,1.56
"1995-12-19",0.9676,100,51840,NA,1.56
"1995-12-20",0.9687,100,51840,NA,1.56
"1995-12-21",0.9694,100,51840,NA,1.56
"1995-12-22",0.9702,100,51840,NA,1.56
"1995-12-26",0.9702,100,51840,NA,1.56
"1995-12-27",0.9709,100,51840,NA,1.56
"1995-12-28",0.9726,100,51840,NA,1.56
"1995-12-29",0.9725,100,51840,NA,1.56
"1996-01-02",0.9726,100,51840,NA,1.56
"1996-01-03",0.9727,100,51840,NA,1.56
"1996-01-04",0.9728,100,51840,NA,1.56
"1996-01-05",0.9727,100,51840,NA,1.56
"1996-01-08",0.9726,100,51840,NA,1.56
"1996-01-09",0.9726,100,51840,NA,1.56
"1996-01-10",0.9726,100,51840,NA,1.56
"1996-01-11",0.973,100,51840,NA,1.56
"1996-01-12",0.9734,100,51840,NA,1.56
"1996-01-15",0.9727,100,51840,NA,1.56
"1996-01-16",0.9726,100,51840,NA,1.56
"1996-01-17",0.9727,100,51840,NA,1.56
"1996-01-18",0.9729,100,51840,NA,1.56
"1996-01-19",0.9732,100,51840,NA,1.56
"1996-01-22",0.9746,100,51840,NA,1.56
"1996-01-23",0.9766,100,51840,NA,1.56
"1996-01-24",0.9769,100,51840,NA,1.56
"1996-01-25",0.9768,100,51840,NA,1.56
"1996-01-26",0.9784,100,51840,NA,1.56
"1996-01-29",0.9788,100,51840,NA,1.56
"1996-01-30",0.9787,100,51840,NA,1.56
"1996-01-31",0.9786,100,51840,NA,1.56
"1996-02-01",0.9786,100,55794,NA,1.03
"1996-02-02",0.9786,100,55794,NA,1.03
"1996-02-05",0.9787,100,55794,NA,1.03
"1996-02-06",0.9786,100,55794,NA,1.03
"1996-02-07",0.9788,100,55794,NA,1.03
"1996-02-08",0.9787,100,55794,NA,1.03
"1996-02-09",0.9788,100,55794,NA,1.03
"1996-02-12",0.9787,100,55794,NA,1.03
"1996-02-13",0.9806,100,55794,NA,1.03
"1996-02-14",0.9813,100,55794,NA,1.03
"1996-02-15",0.9834,100,55794,NA,1.03
"1996-02-16",0.9832,100,55794,NA,1.03
"1996-02-21",0.9823,100,55794,NA,1.03
"1996-02-22",0.9824,100,55794,NA,1.03
"1996-02-23",0.9822,100,55794,NA,1.03
"1996-02-26",0.9836,100,55794,NA,1.03
"1996-02-27",0.984,100,55794,NA,1.03
"1996-02-28",0.9838,100,55794,NA,1.03
"1996-02-29",0.9842,100,55794,NA,1.03
"1996-03-01",0.984,100,55753,NA,0.35
"1996-03-04",0.9837,100,55753,NA,0.35
"1996-03-05",0.9837,100,55753,NA,0.35
"1996-03-06",0.9837,100,55753,NA,0.35
"1996-03-07",0.9845,100,55753,NA,0.35
"1996-03-08",0.9843,100,55753,NA,0.35
"1996-03-11",0.9843,100,55753,NA,0.35
"1996-03-12",0.9842,100,55753,NA,0.35
"1996-03-13",0.9854,100,55753,NA,0.35
"1996-03-14",0.9869,100,55753,NA,0.35
"1996-03-15",0.9868,100,55753,NA,0.35
"1996-03-18",0.9866,100,55753,NA,0.35
"1996-03-19",0.9868,100,55753,NA,0.35
"1996-03-20",0.9883,100,55753,NA,0.35
"1996-03-21",0.9874,100,55753,NA,0.35
"1996-03-22",0.9875,100,55753,NA,0.35
"1996-03-25",0.9879,100,55753,NA,0.35
"1996-03-26",0.9881,100,55753,NA,0.35
"1996-03-27",0.9883,100,55753,NA,0.35
"1996-03-28",0.9881,100,55753,NA,0.35
"1996-03-29",0.988,100,55753,NA,0.35
"1996-04-01",0.9881,100,56769,NA,1.26
"1996-04-02",0.9875,100,56769,NA,1.26
"1996-04-03",0.9874,100,56769,NA,1.26
"1996-04-08",0.9875,100,56769,NA,1.26
"1996-04-09",0.9886,100,56769,NA,1.26
"1996-04-10",0.9896,100,56769,NA,1.26
"1996-04-11",0.9908,100,56769,NA,1.26
"1996-04-12",0.9905,100,56769,NA,1.26
"1996-04-15",0.9899,100,56769,NA,1.26
"1996-04-16",0.9903,100,56769,NA,1.26
"1996-04-17",0.99,100,56769,NA,1.26
"1996-04-18",0.9896,100,56769,NA,1.26
"1996-04-19",0.9915,100,56769,NA,1.26
"1996-04-22",0.9916,100,56769,NA,1.26
"1996-04-23",0.9915,100,56769,NA,1.26
"1996-04-24",0.9916,100,56769,NA,1.26
"1996-04-25",0.9917,100,56769,NA,1.26
"1996-04-26",0.9922,100,56769,NA,1.26
"1996-04-29",0.9926,100,56769,NA,1.26
"1996-04-30",0.9925,100,56769,NA,1.26
"1996-05-02",0.9925,100,56769,NA,1.26
"1996-05-03",0.9926,100,56769,NA,1.26
"1996-05-06",0.9926,100,56769,NA,1.26
"1996-05-07",0.9927,100,56769,NA,1.26
"1996-05-08",0.9928,100,56769,NA,1.26
"1996-05-09",0.9939,100,56769,NA,1.26
"1996-05-10",0.9946,100,56769,NA,1.26
"1996-05-13",0.9951,100,56769,NA,1.26
"1996-05-14",0.996,100,56769,NA,1.26
"1996-05-15",0.9958,100,56769,NA,1.26
"1996-05-16",0.9965,100,56769,NA,1.26
"1996-05-17",0.9958,100,56769,NA,1.26
"1996-05-20",0.9956,100,56769,NA,1.26
"1996-05-21",0.9956,100,56769,NA,1.26
"1996-05-22",0.9958,100,56769,NA,1.26
"1996-05-23",0.9962,100,56769,NA,1.26
"1996-05-24",0.9968,100,56769,NA,1.26
"1996-05-27",0.9966,100,56769,NA,1.26
"1996-05-28",0.9965,100,56769,NA,1.26
"1996-05-29",0.9967,100,56769,NA,1.26
"1996-05-30",0.9971,100,56769,NA,1.26
"1996-05-31",0.9984,100,56769,NA,1.26
"1996-06-03",0.9986,100,56769,NA,1.26
"1996-06-04",0.9985,100,56769,NA,1.26
"1996-06-05",0.9987,100,56769,NA,1.26
"1996-06-07",0.9989,100,56769,NA,1.26
"1996-06-10",0.9998,100,56769,NA,1.26
"1996-06-11",0.9996,100,56769,NA,1.26
"1996-06-12",1.0007,100,56769,NA,1.26
"1996-06-13",1.0005,100,56769,NA,1.26
"1996-06-14",1.0015,100,56769,NA,1.26
"1996-06-17",1.0016,100,56769,NA,1.26
"1996-06-18",1.0016,100,56769,NA,1.26
"1996-06-19",1.002,100,56769,NA,1.26
"1996-06-20",1.0025,100,56769,NA,1.26
"1996-06-21",1.003,100,56769,NA,1.26
"1996-06-24",1.003,100,56769,NA,1.26
"1996-06-25",1.0029,100,56769,NA,1.26
"1996-06-26",1.0039,100,56769,NA,1.26
"1996-06-27",1.0036,100,56769,NA,1.26
"1996-06-28",1.0044,100,56769,NA,1.26
"1996-07-01",1.0045,112,59521,NA,1.11
"1996-07-02",1.0052,112,59521,NA,1.11
"1996-07-03",1.0051,112,59521,NA,1.11
"1996-07-04",1.0049,112,59521,NA,1.11
"1996-07-05",1.0048,112,59521,NA,1.11
"1996-07-08",1.0049,112,59521,NA,1.11
"1996-07-09",1.0055,112,59521,NA,1.11
"1996-07-10",1.0057,112,59521,NA,1.11
"1996-07-11",1.0056,112,59521,NA,1.11
"1996-07-12",1.0056,112,59521,NA,1.11
"1996-07-15",1.0062,112,59521,NA,1.11
"1996-07-16",1.0065,112,59521,NA,1.11
"1996-07-17",1.0066,112,59521,NA,1.11
"1996-07-18",1.0071,112,59521,NA,1.11
"1996-07-19",1.0075,112,59521,NA,1.11
"1996-07-22",1.0077,112,59521,NA,1.11
"1996-07-23",1.0078,112,59521,NA,1.11
"1996-07-24",1.0086,112,59521,NA,1.11
"1996-07-25",1.0087,112,59521,NA,1.11
"1996-07-26",1.0092,112,59521,NA,1.11
"1996-07-29",1.0099,112,59521,NA,1.11
"1996-07-30",1.0107,112,59521,NA,1.11
"1996-07-31",1.0112,112,59521,NA,1.11
"1996-08-01",1.0108,112,59643,NA,0.44
"1996-08-02",1.0104,112,59643,NA,0.44
"1996-08-05",1.0101,112,59643,NA,0.44
"1996-08-06",1.0107,112,59643,NA,0.44
"1996-08-07",1.0116,112,59643,NA,0.44
"1996-08-08",1.0115,112,59643,NA,0.44
"1996-08-09",1.0119,112,59643,NA,0.44
"1996-08-12",1.0122,112,59643,NA,0.44
"1996-08-13",1.0126,112,59643,NA,0.44
"1996-08-14",1.0129,112,59643,NA,0.44
"1996-08-15",1.013,112,59643,NA,0.44
"1996-08-16",1.0135,112,59643,NA,0.44
"1996-08-19",1.0136,112,59643,NA,0.44
"1996-08-20",1.0144,112,59643,NA,0.44
"1996-08-21",1.0147,112,59643,NA,0.44
"1996-08-22",1.0148,112,59643,NA,0.44
"1996-08-23",1.0153,112,59643,NA,0.44
"1996-08-26",1.0155,112,59643,NA,0.44
